英文标准词	采用中文	译名状态	依据	定位	编辑说明
Capitol Daemonicus	恶魔大厦	暂定·官方待核	所给英文底稿	篇1518	恶魔审判庭使用的车辆，非混沌阵营归属。
Khasisatra	卡西萨特拉号	暂定·官方待核	所给英文底稿	篇1518	具名帝国大厦。
Octavius Rabelaq	屋大维·拉伯拉克	暂定·官方待核	所给英文底稿	篇1518	沿原译人名。
Lex Tredecim	第十三法号	暂定·官方待核	所给英文底稿	篇1518	沿现稿具名车辆。
Wrath of Olympus	奥林匹斯之怒号	暂定·官方待核	所给英文底稿	篇1518	具名车辆。
Psiom Reach	普西奥姆星域	暂定·官方待核	所给英文底稿	篇1519	原普西奥姆河段；星际地理语境，具体层级待核。
Thulos Deeps	图洛斯深域	暂定·官方待核	所给英文底稿	篇1519	星际地理名，暂定。
Zarathruttrax	扎拉斯鲁特拉克斯号	暂定·官方待核	所给英文底稿	篇1519	具名弯刀坦克；原黄金之星缺英文依据。
Ascalon Super Heavy Tank	阿斯卡隆超重型坦克	暂定·官方待核	所给英文底稿	篇1519	沿原稿。
Leviathan Super Heavy Assault Transport	利维坦超重型突击运输车	暂定·官方待核	所给英文底稿	篇1520	完整车辆名，区别同形虫巢舰队等。
Ironbreaker Brotherhoods	破铁者兄弟会	暂定·官方待核	所给英文底稿	篇1520	矮人战士编制。
Destrier	战马	暂定·官方待核	所给英文底稿	篇1520	飞行器，按英文词义暂定，不是Destroyer。
Corvus ramps	渡鸦登车跳板	暂定·官方待核	所给英文底稿	篇1520	原误作渡鸦突击舱。
Execubitoi Castellum	军事堡垒号	暂定·官方待核	所给英文底稿	篇1520	沿原稿具名利维坦。
Magnificence	华丽号	暂定·官方待核	所给英文底稿	篇1520	沿原稿具名利维坦。
Prath-Veil subsector	普拉特帷幕次星区	暂定·官方待核	所给英文底稿	篇1523	沿原稿专名，统一地理层级。
Milos Baral	米洛斯·巴拉尔	暂定·官方待核	所给英文底稿	篇1523	行商浪人。
Prioris Pattern Exorcist	首席型驱魔人导弹车	暂定·官方待核	所给英文底稿	篇1524	沿原稿型号；完整车型暂定，基本车型官方已核。
Sanctorum Pattern Exorcist	圣所型驱魔人导弹车	暂定·官方待核	所给英文底稿	篇1524	沿原稿型号，完整名待核。
Conflagration Rockets	爆炎火箭	暂定·官方待核	所给英文底稿	篇1524	沿原稿武器。
Whirlwind Helios	赫利俄斯型旋风战车	暂定·官方待核	所给英文底稿	篇1525	型号暂定，车辆基本名官方。
Whirlwind Hyperios	许珀里翁型旋风战车	暂定·官方待核	所给英文底稿	篇1525	防空改型，区别Helios。
Daceus	达修斯号	暂定·官方待核	所给英文底稿	篇1525	具名旋风。
Ferrus Annihilatus	钢铁毁灭号	暂定·官方待核	所给英文底稿	篇1525	具名旋风。
Encarmine (Whirlwind)	染赤号（旋风战车）	暂定·官方待核	所给英文底稿	篇1525	具名车辆，区别赤红战刃武器词根。
Ghassulian	加苏利安	暂定·官方待核	所给英文底稿	篇1525	异形种族名。
